AÑO	E	F	M	A	M	J	J	A	S	O	N	D
2006	1009.1	1008.9	1010.7	1013.0	1019.0	1015.0	1013.3	1014.4	1014.5	1011.3	1011.4	1007.6
2007	1008.3	1008.0	1010.0	1012.5	1016.4	1013.7	1015.3	1018.3	1014.5	1010.6	1009.4	1008.3
2008	1009.3	1009.1	1010.9	1010.0	1014.5	1015.8	1014.5	1013.6	1017.4	1014.1	1010.7	1010.3
2009	1010.3	1008.3	1009.8	1013.8	1012.5	1015.5	1015.6	1013.3	1016.1	1011.0	1005.8	1009.4
2010	1007.4	1007.8	1009.7	1014.9	1016.0	1016.0	1015.2	1018.4	1013.4	1013.6	1010.3	1006.1
2011	1006.9	1011.2	1012.0	1012.0	1016.8	1014.2	1015.6	1015.5	1016.1	1012.2	1010.8	1010.1
2012	1009.4	1007.8	1011.6	1013.2	1014.6	1014.0	1016.9	1015.8	1015.3	1009.9	1011.0	1005.2
2013	1010.8	1009.9	1012.9	1012.8	1013.0	1014.8	1016.0	1017.1	1014.9	1013.7	1009.5	1006.7
2014	1007.7	1010.4	1011.0	1014.0	1014.6	1015.9	1016.6	1014.0	1012.7	1012.0	1010.7	1008.7
2015	1009.9	1010.9	1012.5	1013.7	1015.3	1014.9	1015.5	1012.0	1013.7	1015.0	1010.9	1008.1
2016	1009.6	1008.6	1015.1	1012.5	1019.1	1019.6	1016.0	1015.4	1017.9	1013.1	1011.2	1007.3
2017	1008.7	1007.9	1012.6	1013.0	1014.1	1013.2	1017.5	1013.5	1015.7	1010.8	1009.7	1008.7
2018	1008.7	1011.0	1009.8	1013.1	1014.8	1016.5	1017.6	1017.8	1013.4	1014.4	1010.4	1009.9
2019	1009.2	1010.7	1014.0	1013.3	1014.5	1012.8	1016.6	1019.2	1015.5	1013.3	1010.0	1008.6
2020	1008.9	1011.0	1012.1	1015.2	1014.0	1013.1	1014.6	1015.2	1015.1	1014.1	1013.2	1009.3
2021	1008.6	1010.3	1011.6	1014.2	1014.4	1017.0	1016.8	1017.0	1014.1	1013.4	1010.7	1010.6
2022	1008.1	1009.6	1010.4	1012.4	1016.8	1016.8	1012.2	1017.2	1016.7	1013.7	1012.8	1009.0
2023	1008.8	1008.8	1009.8	1013.0	1014.8	1016.4	1016.5	1013.2	1013.3	1012.1	1008.8	1010.0
2024	1011.0	1011.1	1010.6	1011.3	1016.0	1012.2	1021.1	1016.1	1012.6	1012.6	1010.8	1010.1
2025	1009.3	1008.4	1012.9	1015.0	1014.7							
